listing_key,ticker,exchange,isin,figi,requested_exchange_hint,openfigi_exch_code,openfigi_candidate_count,identifier_isin,listing_index_isin,existing_identifier_figi,existing_listing_index_figi,decision,reason,verification_evidence_required,openfigi_probe_context,existing_identifier_context,apply_gate_context
TSXV::VLD,VLD,TSXV,CA9274481006,BBG01JPVS162,CN,CN,18,CA9274481006,CA9274481006,BBG01JPVS162,BBG01JPVS162,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA9274481006;listing_index_isin=CA9274481006;existing_identifier_figi=BBG01JPVS162;existing_listing_index_figi=BBG01JPVS162,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::VMS,VMS,TSXV,CA92905U1066,BBG00FP2WG12,CN,CN,85,CA92905U1066,CA92905U1066,BBG00FP2WG12,BBG00FP2WG12,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=85,identifier_isin=CA92905U1066;listing_index_isin=CA92905U1066;existing_identifier_figi=BBG00FP2WG12;existing_listing_index_figi=BBG00FP2WG12,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::VMXX,VMXX,TSXV,CA91914U1075,BBG00243PCZ2,CN,CN,21,CA91914U1075,CA91914U1075,BBG00243PCZ2,BBG00243PCZ2,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=21,identifier_isin=CA91914U1075;listing_index_isin=CA91914U1075;existing_identifier_figi=BBG00243PCZ2;existing_listing_index_figi=BBG00243PCZ2,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::VQS,VQS,TSXV,CA91825V4001,BBG000BBY8S7,CN,CN,91,CA91825V4001,CA91825V4001,BBG000BBY8S7,BBG000BBY8S7,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=91,identifier_isin=CA91825V4001;listing_index_isin=CA91825V4001;existing_identifier_figi=BBG000BBY8S7;existing_listing_index_figi=BBG000BBY8S7,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::VRB,VRB,TSXV,CA9214283066,BBG000BBGM79,CN,CN,99,CA9214283066,CA9214283066,BBG000BBGM79,BBG000BBGM79,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=99,identifier_isin=CA9214283066;listing_index_isin=CA9214283066;existing_identifier_figi=BBG000BBGM79;existing_listing_index_figi=BBG000BBGM79,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::VTEN,VTEN,TSXV,CA91839J1049,BBG01JJB5WY9,CN,CN,18,CA91839J1049,CA91839J1049,BBG01JJB5WY9,BBG01JJB5WY9,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA91839J1049;listing_index_isin=CA91839J1049;existing_identifier_figi=BBG01JJB5WY9;existing_listing_index_figi=BBG01JJB5WY9,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::VVTM,VVTM,TSXV,CA91841T1084,BBG000K5J255,CN,CN,35,CA91841T1084,CA91841T1084,BBG000K5J255,BBG000K5J255,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=35,identifier_isin=CA91841T1084;listing_index_isin=CA91841T1084;existing_identifier_figi=BBG000K5J255;existing_listing_index_figi=BBG000K5J255,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::VYC-H,VYC-H,TSXV,CA92205N1096,BBG000NG1Y39,CN,CN,18,CA92205N1096,CA92205N1096,BBG000NG1Y39,BBG000NG1Y39,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA92205N1096;listing_index_isin=CA92205N1096;existing_identifier_figi=BBG000NG1Y39;existing_listing_index_figi=BBG000NG1Y39,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::VZZ,VZZ,TSXV,CA91881B1085,BBG000QYG375,CN,CN,20,CA91881B1085,CA91881B1085,BBG000QYG375,BBG000QYG375,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=20,identifier_isin=CA91881B1085;listing_index_isin=CA91881B1085;existing_identifier_figi=BBG000QYG375;existing_listing_index_figi=BBG000QYG375,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::WAT.P,WAT.P,TSXV,CA96246G1063,BBG011XYZYC9,CN,CN,18,CA96246G1063,CA96246G1063,BBG011XYZYC9,BBG011XYZYC9,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA96246G1063;listing_index_isin=CA96246G1063;existing_identifier_figi=BBG011XYZYC9;existing_listing_index_figi=BBG011XYZYC9,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::WCSB,WCSB,TSXV,CA24344U1084,BBG000CJ4YS5,CN,CN,18,CA24344U1084,CA24344U1084,BBG000CJ4YS5,BBG000CJ4YS5,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA24344U1084;listing_index_isin=CA24344U1084;existing_identifier_figi=BBG000CJ4YS5;existing_listing_index_figi=BBG000CJ4YS5,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::WED,WED,TSXV,US9569251013,BBG000C156Q6,CN,CN,83,US9569251013,US9569251013,BBG000C156Q6,BBG000C156Q6,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=83,identifier_isin=US9569251013;listing_index_isin=US9569251013;existing_identifier_figi=BBG000C156Q6;existing_listing_index_figi=BBG000C156Q6,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::WFLD,WFLD,TSXV,CA94950R1038,BBG013SX8689,CN,CN,71,CA94950R1038,CA94950R1038,BBG013SX8689,BBG013SX8689,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=71,identifier_isin=CA94950R1038;listing_index_isin=CA94950R1038;existing_identifier_figi=BBG013SX8689;existing_listing_index_figi=BBG013SX8689,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::WGT,WGT,TSXV,CA96031U1049,BBG000KX75P8,CN,CN,66,CA96031U1049,CA96031U1049,BBG000KX75P8,BBG000KX75P8,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=66,identifier_isin=CA96031U1049;listing_index_isin=CA96031U1049;existing_identifier_figi=BBG000KX75P8;existing_listing_index_figi=BBG000KX75P8,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::WHN,WHN,TSXV,CA9603501060,BBG0018BWKN9,CN,CN,106,CA9603501060,CA9603501060,BBG0018BWKN9,BBG0018BWKN9,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=106,identifier_isin=CA9603501060;listing_index_isin=CA9603501060;existing_identifier_figi=BBG0018BWKN9;existing_listing_index_figi=BBG0018BWKN9,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::WITT.P,WITT.P,TSXV,CA97749Q1046,BBG0145KMFS2,CN,CN,18,CA97749Q1046,CA97749Q1046,BBG0145KMFS2,BBG0145KMFS2,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA97749Q1046;listing_index_isin=CA97749Q1046;existing_identifier_figi=BBG0145KMFS2;existing_listing_index_figi=BBG0145KMFS2,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::WLR,WLR,TSXV,CA9316741052,BBG000BJY7S2,CN,CN,56,CA9316741052,CA9316741052,BBG000BJY7S2,BBG000BJY7S2,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=56,identifier_isin=CA9316741052;listing_index_isin=CA9316741052;existing_identifier_figi=BBG000BJY7S2;existing_listing_index_figi=BBG000BJY7S2,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::WOOD.P,WOOD.P,TSXV,CA97888Q1054,BBG013J8V385,CN,CN,18,CA97888Q1054,CA97888Q1054,BBG013J8V385,BBG013J8V385,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA97888Q1054;listing_index_isin=CA97888Q1054;existing_identifier_figi=BBG013J8V385;existing_listing_index_figi=BBG013J8V385,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::WPG,WPG,TSXV,CA95538Q1037,BBG000L6RRQ5,CN,CN,79,CA95538Q1037,CA95538Q1037,BBG000L6RRQ5,BBG000L6RRQ5,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=79,identifier_isin=CA95538Q1037;listing_index_isin=CA95538Q1037;existing_identifier_figi=BBG000L6RRQ5;existing_listing_index_figi=BBG000L6RRQ5,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::WRLG,WRLG,TSXV,CA95556L1013,BBG000BS4G41,CN,CN,96,CA95556L1013,CA95556L1013,BBG000BS4G41,BBG000BS4G41,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=96,identifier_isin=CA95556L1013;listing_index_isin=CA95556L1013;existing_identifier_figi=BBG000BS4G41;existing_listing_index_figi=BBG000BS4G41,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::WWA.P,WWA.P,TSXV,CA96613L1004,BBG0132WJJC4,CN,CN,18,CA96613L1004,CA96613L1004,BBG0132WJJC4,BBG0132WJJC4,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA96613L1004;listing_index_isin=CA96613L1004;existing_identifier_figi=BBG0132WJJC4;existing_listing_index_figi=BBG0132WJJC4,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::XBOT,XBOT,TSXV,CA75604K1075,BBG000CDWTN3,CN,CN,64,CA75604K1075,CA75604K1075,BBG000CDWTN3,BBG000CDWTN3,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=64,identifier_isin=CA75604K1075;listing_index_isin=CA75604K1075;existing_identifier_figi=BBG000CDWTN3;existing_listing_index_figi=BBG000CDWTN3,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::XCAP.P,XCAP.P,TSXV,CA30163L1031,BBG00NSC5VG1,CN,CN,18,CA30163L1031,CA30163L1031,BBG00NSC5VG1,BBG00NSC5VG1,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA30163L1031;listing_index_isin=CA30163L1031;existing_identifier_figi=BBG00NSC5VG1;existing_listing_index_figi=BBG00NSC5VG1,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::XOX.P,XOX.P,TSXV,CA72706J1049,BBG0157FPY86,CN,CN,18,CA72706J1049,CA72706J1049,BBG0157FPY86,BBG0157FPY86,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA72706J1049;listing_index_isin=CA72706J1049;existing_identifier_figi=BBG0157FPY86;existing_listing_index_figi=BBG0157FPY86,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::XXIX,XXIX,TSXV,CA9013201012,BBG00KG0VBD4,CN,CN,103,CA9013201012,CA9013201012,BBG00KG0VBD4,BBG00KG0VBD4,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=103,identifier_isin=CA9013201012;listing_index_isin=CA9013201012;existing_identifier_figi=BBG00KG0VBD4;existing_listing_index_figi=BBG00KG0VBD4,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::YAY,YAY,TSXV,CA87252F1080,BBG011MGV4S3,CN,CN,18,CA87252F1080,CA87252F1080,BBG011MGV4S3,BBG011MGV4S3,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA87252F1080;listing_index_isin=CA87252F1080;existing_identifier_figi=BBG011MGV4S3;existing_listing_index_figi=BBG011MGV4S3,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::YSK.P,YSK.P,TSXV,CA84616A1075,BBG01HMV0XC2,CN,CN,18,CA84616A1075,CA84616A1075,BBG01HMV0XC2,BBG01HMV0XC2,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA84616A1075;listing_index_isin=CA84616A1075;existing_identifier_figi=BBG01HMV0XC2;existing_listing_index_figi=BBG01HMV0XC2,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::ZAU,ZAU,TSXV,CA98980T1049,BBG01BFSF1N2,CN,CN,69,CA98980T1049,CA98980T1049,BBG01BFSF1N2,BBG01BFSF1N2,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=69,identifier_isin=CA98980T1049;listing_index_isin=CA98980T1049;existing_identifier_figi=BBG01BFSF1N2;existing_listing_index_figi=BBG01BFSF1N2,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::ZCC-H,ZCC-H,TSXV,CA98935W1032,BBG000D7C0K3,CN,CN,17,CA98935W1032,CA98935W1032,BBG000D7C0K3,BBG000D7C0K3,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=17,identifier_isin=CA98935W1032;listing_index_isin=CA98935W1032;existing_identifier_figi=BBG000D7C0K3;existing_listing_index_figi=BBG000D7C0K3,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::ZCT,ZCT,TSXV,CA9894831028,BBG01QZHS5F7,CN,CN,46,CA9894831028,CA9894831028,BBG01QZHS5F7,BBG01QZHS5F7,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=46,identifier_isin=CA9894831028;listing_index_isin=CA9894831028;existing_identifier_figi=BBG01QZHS5F7;existing_listing_index_figi=BBG01QZHS5F7,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::ZENI.P,ZENI.P,TSXV,CA98936P1071,BBG004NFG291,CN,CN,18,CA98936P1071,CA98936P1071,BBG004NFG291,BBG004NFG291,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA98936P1071;listing_index_isin=CA98936P1071;existing_identifier_figi=BBG004NFG291;existing_listing_index_figi=BBG004NFG291,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::ZKL-H,ZKL-H,TSXV,CA1689301135,BBG000KDGSN4,CN,CN,18,CA1689301135,CA1689301135,BBG000KDGSN4,BBG000KDGSN4,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA1689301135;listing_index_isin=CA1689301135;existing_identifier_figi=BBG000KDGSN4;existing_listing_index_figi=BBG000KDGSN4,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::ZLTO,ZLTO,TSXV,CA12016C1005,BBG015HYDYJ5,CN,CN,18,CA12016C1005,CA12016C1005,BBG015HYDYJ5,BBG015HYDYJ5,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA12016C1005;listing_index_isin=CA12016C1005;existing_identifier_figi=BBG015HYDYJ5;existing_listing_index_figi=BBG015HYDYJ5,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::ZYUS,ZYUS,TSXV,CA9899601095,BBG000BC9457,CN,CN,21,CA9899601095,CA9899601095,BBG000BC9457,BBG000BC9457,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=21,identifier_isin=CA9899601095;listing_index_isin=CA9899601095;existing_identifier_figi=BBG000BC9457;existing_listing_index_figi=BBG000BC9457,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::ZZE-H,ZZE-H,TSXV,CA98953U2039,BBG001KR1DZ7,CN,CN,18,CA98953U2039,CA98953U2039,BBG001KR1DZ7,BBG001KR1DZ7,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA98953U2039;listing_index_isin=CA98953U2039;existing_identifier_figi=BBG001KR1DZ7;existing_listing_index_figi=BBG001KR1DZ7,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
